Date,Time,Battery_Percent,Time_Remaining,Battery_Condition,Maximum_Capacity
03/06/2026,19:44:23,78,1429,Normal,100
03/06/2026,19:45:06,78,1429,Normal,100
03/06/2026,19:47:12,77,1419,Normal,100
03/06/2026,19:47:37,77,1419,Normal,100
03/06/2026,19:49:43,77,1359,Normal,100
03/06/2026,20:04:49,76,1340,Normal,100
03/06/2026,21:28:18,74,811,Normal,100
03/06/2026,21:28:29,74,811,Normal,100
03/06/2026,21:31:48,74,841,Normal,100
03/06/2026,21:37:40,73,911,Normal,100
03/06/2026,21:39:24,73,931,Normal,100
03/06/2026,21:42:47,73,941,Normal,100
03/06/2026,21:45:57,72,1001,Normal,100
03/06/2026,21:46:56,72,1011,Normal,100
03/06/2026,21:47:16,72,1011,Normal,100
03/06/2026,21:47:30,72,1011,Normal,100
03/06/2026,21:48:13,72,1001,Normal,100
03/06/2026,21:49:14,72,1011,Normal,100
03/06/2026,21:49:38,72,1011,Normal,100
03/06/2026,21:54:00,72,1054,Normal,100
03/06/2026,21:54:18,71,1044,Normal,100
03/06/2026,21:56:49,71,1044,Normal,100
03/06/2026,21:57:13,71,1034,Normal,100
03/06/2026,22:02:26,70,1014,Normal,100
03/06/2026,22:04:30,70,954,Normal,100
03/06/2026,22:04:44,70,954,Normal,100
03/06/2026,22:06:02,70,1004,Normal,100
03/06/2026,22:06:49,70,954,Normal,100
03/06/2026,22:22:28,68,924,Normal,100
03/06/2026,22:31:12,67,905,Normal,100
03/06/2026,22:32:25,67,915,Normal,100
03/06/2026,22:33:04,67,905,Normal,100
03/06/2026,22:35:16,66,845,Normal,100
03/06/2026,22:35:31,66,835,Normal,100
03/06/2026,22:35:50,66,835,Normal,100
03/06/2026,22:36:24,66,845,Normal,100
03/06/2026,22:36:41,66,845,Normal,100
03/06/2026,22:37:09,66,845,Normal,100
03/06/2026,22:38:11,66,835,Normal,100
03/06/2026,22:38:38,66,825,Normal,100
03/06/2026,22:39:43,66,835,Normal,100
03/06/2026,22:39:54,66,835,Normal,100
03/06/2026,22:41:10,66,825,Normal,100
03/06/2026,22:42:56,65,825,Normal,100
03/06/2026,22:42:58,65,825,Normal,100
03/06/2026,22:43:00,65,825,Normal,100
03/06/2026,22:43:02,65,825,Normal,100
03/06/2026,22:43:05,65,825,Normal,100
03/06/2026,22:43:07,65,825,Normal,100
03/06/2026,22:43:09,65,825,Normal,100
